poll_at,over_under_id,projection_id,player_id,pitcher,stat_type,line,over_american,under_american,over_payout_multiplier,under_payout_multiplier,p_over_implied,p_under_implied,p_market,over_updated_at,under_updated_at,game_id,game_title,start_time,game_status,live_event,status
2026-09-03T21:32:09.712292+00:00,1f50e3b3-b078-474d-b91c-599a4e4c483b,a1916a36-631a-4297-a261-93e7eadfb10b,5479701a-cd1f-47db-9ce8-8cd604cb3e9e,Cristopher Sánchez,strikeouts,6.5,102,-134,1.07,0.91,0.49504950495049505,0.5726495726495726,0.46366014107949594,2026-09-03T20:41:52Z,2026-09-03T20:39:44Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,414beab8-7291-4556-9072-5eaf763c8355,57c381f3-58c3-47d9-94ea-234571ebffde,29ba7b9d-d032-4e00-8ae4-5d10bab91683,Chris Sale,strikeouts,6.5,-139,103,0.89,1.08,0.5815899581589958,0.49261083743842365,0.5414164284206688,2026-09-03T21:01:25Z,2026-09-03T21:01:25Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,98381a47-1b1a-4bfc-9e64-f022c01855ff,c4d5ca78-15ac-48e8-bb3b-d01e1497ee6b,b14cd246-2cb9-4287-972d-db9b0573442b,Erick Fedde,strikeouts,3.5,125,-170,1.15,0.82,0.4444444444444444,0.6296296296296297,0.41379310344827586,2026-09-03T20:39:09Z,2026-09-03T20:39:09Z,142752,MIN @ CWS,2026-09-04T23:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,7ef081b2-bd94-4020-b7ed-10085741b3e1,f06b804d-45b7-407f-a912-b6cce5314137,ace95a96-2735-4cd1-88dc-32b1fc5382cb,Zebby Matthews,strikeouts,4.5,-120,-113,1.0,1.0,0.5454545454545454,0.5305164319248826,0.5069416898056327,2026-09-03T20:39:13Z,2026-09-03T20:39:13Z,142752,MIN @ CWS,2026-09-04T23:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,2aeb8ab1-ce2e-47b2-b078-168be5c94f69,824e0e11-1fa1-4bff-9d7c-ea5def0b1829,5479701a-cd1f-47db-9ce8-8cd604cb3e9e,Cristopher Sánchez,pitch_outs,18.5,122,-167,1.14,0.83,0.45045045045045046,0.6254681647940075,0.41866591400884373,2026-09-03T20:41:52Z,2026-09-03T20:41:52Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,c3c0133c-2e8e-4a55-9341-8bd553f90203,1d40e85c-c0e2-4cdc-b311-8ceefbafa4de,29ba7b9d-d032-4e00-8ae4-5d10bab91683,Chris Sale,pitch_outs,17.5,-209,153,0.76,1.26,0.6763754045307443,0.3952569169960474,0.6311636845434904,2026-09-03T21:01:29Z,2026-09-03T21:01:29Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,0433fd5f-9932-4449-bb3a-f2b6297a5ee3,0fc99ab3-3ca7-4d92-bda7-db77fa5ae1ba,b14cd246-2cb9-4287-972d-db9b0573442b,Erick Fedde,pitch_outs,14.5,-186,137,0.79,1.18,0.6503496503496503,0.4219409282700422,0.6065050493932472,2026-09-03T20:39:09Z,2026-09-03T20:39:09Z,142752,MIN @ CWS,2026-09-04T23:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,21de401a-0968-45a2-984b-7acbbb919a36,c53b7f6b-ed42-4cb9-b1c8-32be6a4c73b5,ace95a96-2735-4cd1-88dc-32b1fc5382cb,Zebby Matthews,pitch_outs,17.5,-109,-124,1.0,1.0,0.5215311004784688,0.5535714285714286,0.48509894301835804,2026-09-03T20:39:14Z,2026-09-03T20:39:14Z,142752,MIN @ CWS,2026-09-04T23:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,676d30eb-f014-4a6f-917c-aab203c8b80e,2118d67e-c7ba-4e1c-9aa9-c22835cfeace,5479701a-cd1f-47db-9ce8-8cd604cb3e9e,Cristopher Sánchez,runs_allowed,1.5,-170,125,0.82,1.15,0.6296296296296297,0.4444444444444444,0.5862068965517242,2026-09-03T20:39:45Z,2026-09-03T20:39:45Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
2026-09-03T21:32:09.712292+00:00,418109b0-6e9a-4d00-9952-ebe9b85f460b,f9b266be-42a0-4e2f-8b20-1158952cae5f,29ba7b9d-d032-4e00-8ae4-5d10bab91683,Chris Sale,runs_allowed,1.5,-139,102,0.9,1.07,0.5815899581589958,0.49504950495049505,0.5401900804186387,2026-09-03T20:39:42Z,2026-09-03T20:39:42Z,142497,ATL @ PHI,2026-09-04T22:40:00Z,scheduled,False,active
