poll_at,over_under_id,projection_id,player_id,pitcher,stat_type,line,over_american,under_american,over_payout_multiplier,under_payout_multiplier,p_over_implied,p_under_implied,p_market,over_updated_at,under_updated_at,game_id,game_title,start_time,game_status,live_event,status
2026-09-06T23:02:01.563258+00:00,5646304c-22ea-49aa-b3b5-3791c19d2b59,1c6c20f4-cd0c-4985-8795-b62e4825c013,92526945-ca62-475f-a21e-0a4c03ceacea,Grayson Rodriguez,strikeouts,4.5,-150,110,0.87,1.1,0.6,0.47619047619047616,0.5575221238938053,2026-09-06T22:25:22Z,2026-09-06T22:25:22Z,144261,LAA @ BOS,2026-09-07T17:35:00Z,scheduled,False,active
2026-09-06T23:02:01.563258+00:00,23fb72f8-4e5a-4052-990a-fcdb1c69f876,68dba5f7-bdd6-4836-87da-5e1edf510c87,92526945-ca62-475f-a21e-0a4c03ceacea,Grayson Rodriguez,pitch_outs,16.5,-105,-130,1.05,0.94,0.5121951219512195,0.5652173913043478,0.4753937007874017,2026-09-06T22:46:02Z,2026-09-06T22:46:02Z,144261,LAA @ BOS,2026-09-07T17:35:00Z,scheduled,False,active
2026-09-06T23:02:01.563258+00:00,972a3ba9-eb07-44fe-b7b3-020c5c09d773,b90b4915-bbea-40c1-a319-cb79d39d0c15,92526945-ca62-475f-a21e-0a4c03ceacea,Grayson Rodriguez,runs_allowed,2.5,-136,100,0.9,1.06,0.576271186440678,0.5,0.5354330708661418,2026-09-06T22:25:22Z,2026-09-06T22:25:22Z,144261,LAA @ BOS,2026-09-07T17:35:00Z,scheduled,False,active
2026-09-06T23:02:01.563258+00:00,c03cc0a5-ba62-4638-acbb-41d73deca33b,c9aec792-3f97-4e7a-a8e5-f74c532752a9,92526945-ca62-475f-a21e-0a4c03ceacea,Grayson Rodriguez,walks_allowed,2.5,148,-182,1.21,0.78,0.4032258064516129,0.6453900709219859,0.3845314715828515,2026-09-06T22:25:23Z,2026-09-06T22:25:23Z,144261,LAA @ BOS,2026-09-07T17:35:00Z,scheduled,False,active
2026-09-06T23:02:01.563258+00:00,84960813-6362-4aef-b25e-7d29cfb616a3,46af9fdb-9cad-4134-9c08-33734b29c3f5,92526945-ca62-475f-a21e-0a4c03ceacea,Grayson Rodriguez,hits_allowed,5.5,-106,-141,1.06,0.91,0.5145631067961165,0.5850622406639004,0.467944021101993,2026-09-06T22:25:22Z,2026-09-06T22:25:22Z,144261,LAA @ BOS,2026-09-07T17:35:00Z,scheduled,False,active
2026-09-07T00:59:50.619916+00:00,e6d6faa6-42a1-494c-a490-026652577260,0ff0d7e9-0ac0-462c-9413-cf7f738cdff2,ac3a44d4-1fa5-42c5-9bbf-f624bdfcfbf3,Logan Webb,strikeouts,5.5,115,-157,1.1,0.85,0.46511627906976744,0.6108949416342413,0.43225969220418803,2026-09-07T00:22:26Z,2026-09-07T00:22:26Z,142814,STL @ SF,2026-09-08T00:10:00Z,scheduled,False,active
2026-09-07T00:59:50.619916+00:00,7830fa80-2817-40f2-9912-eb3e66ad3698,dc880155-e3e7-47b7-ba31-fe88f15cb145,4adbd987-3939-4b5a-ace1-91b26ae7716c,Dylan Cease,strikeouts,7.5,-103,-132,1.05,0.91,0.5073891625615764,0.5689655172413793,0.471395881006865,2026-09-07T00:05:50Z,2026-09-07T00:05:50Z,143506,TOR @ ATH,2026-09-08T02:05:00Z,scheduled,False,active
2026-09-07T00:59:50.619916+00:00,4ca001dc-bc5c-4c1f-9450-10c4e5ae6dda,a644574e-e6b4-4f3e-a9e7-170e3dffe66c,bd7c3ffd-7d3f-43ea-8e6f-768e50f1e332,Jesús Luzardo,strikeouts,6.5,-154,113,0.86,1.12,0.6062992125984252,0.4694835680751174,0.5635888801072129,2026-09-07T00:52:31Z,2026-09-07T00:52:31Z,142893,ATL @ PHI,2026-09-07T17:05:00Z,scheduled,False,active
2026-09-07T00:59:50.619916+00:00,249f9ee9-7a4b-47ca-8ebe-6b5dce9bfce6,349c1a4e-c0bb-4ae5-b7b5-0915640045fe,4742b3ce-9957-4566-9e6a-51b710c9c7c1,Grant Holmes,strikeouts,3.5,-102,-134,1.05,0.91,0.504950495049505,0.5726495726495726,0.4685880320402073,2026-09-06T23:51:41Z,2026-09-06T23:51:41Z,142893,ATL @ PHI,2026-09-07T17:05:00Z,scheduled,False,active
2026-09-07T00:59:50.619916+00:00,0f389af4-ab0c-45f0-bfe3-f328c9e89bf0,7dbab2be-2fe6-4f1e-81cc-5561851e98a8,79d819a1-9c3a-426c-98b3-daa8b6bf4aa1,Jacob Lopez,strikeouts,4.5,107,-145,1.09,0.88,0.4830917874396135,0.5918367346938775,0.4494175914885811,2026-09-07T00:05:54Z,2026-09-07T00:05:54Z,143506,TOR @ ATH,2026-09-08T02:05:00Z,scheduled,False,active
